ID	msisensorpro	reference_result
V0001	29.27	1
V0002	30.51	1
V0003	27.6	1
V0004	31.89	1
V0005	24.86	1
V0006	5.24	1
V0007	26.29	1
V0008	30.25	1
V0009	17.77	1
V0010	5.31	-1
V0011	3.77	-1
V0012	4.56	-1
V0013	1.97	-1
V0014	1.87	-1
V0015	1.55	-1
V0016	2.34	-1
V0017	6.13	-1
S0001	35.53	
S0002	35.42	
S0003	35.37	
S0004	34.49	
S0005	33.62	
S0006	32.03	
S0007	30.89	
S0008	30.24	
S0009	29.37	
S0010	28.48	
S0011	28.1	
S0012	27.69	
S0013	27.56	
S0014	26.2	
S0015	25.54	
S0016	24.54	
S0017	22.99	
S0018	21.15	
S0019	20.04	
S0020	19.85	
S0021	19.8	
S0022	19.56	
S0023	18.99	
S0024	18.89	
S0025	18.55	
S0026	18.45	
S0027	18.26	
S0028	18.19	
S0029	17.95	
S0030	17.13	
S0031	16.67	
S0032	16.4	
S0033	16.25	
S0034	16.2	
S0035	15.73	
S0036	15.62	
S0037	15.38	
S0038	15.32	
S0039	15.32	
S0040	15.2	
S0041	15.11	
S0042	15.08	
S0043	15.08	
S0044	15.01	
S0045	14.95	
S0046	14.9	
S0047	14.8	
S0048	14.71	
S0049	14.57	
S0050	14.43	
S0051	14.42	
S0052	14.32	
S0053	14.25	
S0054	14.24	
S0055	14.16	
S0056	13.75	
S0057	13.53	
S0058	13.51	
S0059	13.18	
S0060	13.06	
S0061	13.02	
S0062	12.98	
S0063	12.8	
S0064	12.76	
S0065	12.75	
S0066	12.67	
S0067	12.58	
S0068	12.46	
S0069	12.31	
S0070	12.18	
S0071	11.97	
S0072	11.45	
S0073	11.43	
S0074	11.39	
S0075	11.14	
S0076	11.07	
S0077	10.94	
S0078	10.91	
S0079	10.68	
S0080	10.66	
S0081	10.58	
S0082	10.57	
S0083	10.5	
S0084	10.47	
S0085	10.44	
S0086	10.44	
S0087	10.41	
S0088	10.36	
S0089	10.26	
S0090	10.23	
S0091	10.13	
S0092	10.07	
S0093	9.94	
S0094	9.85	
S0095	9.75	
S0096	9.73	
S0097	9.73	
S0098	9.61	
S0099	9.56	
S0100	9.54	
S0101	9.5	
S0102	9.49	
S0103	9.48	
S0104	9.39	
S0105	9.37	
S0106	9.33	
S0107	9.25	
S0108	9.2	
S0109	9.17	
S0110	9.13	
S0111	9.05	
S0112	9.02	
S0113	8.95	
S0114	8.91	
S0115	8.88	
S0116	8.82	
S0117	8.66	
S0118	8.63	
S0119	8.6	
S0120	8.49	
S0121	8.49	
S0122	8.45	
S0123	8.44	
S0124	8.28	
S0125	8.26	
S0126	8.24	
S0127	8.06	
S0128	8.06	
S0129	8.05	
S0130	8.04	
S0131	8.01	
S0132	7.97	
S0133	7.91	
S0134	7.91	
S0135	7.9	
S0136	7.89	
S0137	7.85	
S0138	7.78	
S0139	7.75	
S0140	7.75	
S0141	7.69	
S0142	7.67	
S0143	7.67	
S0144	7.66	
S0145	7.63	
S0146	7.61	
S0147	7.57	
S0148	7.51	
S0149	7.5	
S0150	7.47	
S0151	7.42	
S0152	7.41	
S0153	7.38	
S0154	7.37	
S0155	7.32	
S0156	7.27	
S0157	7.26	
S0158	7.24	
S0159	7.13	
S0160	7.13	
S0161	7.06	
S0162	7.06	
S0163	7.02	
S0164	7.01	
S0165	7.01	
S0166	7	
S0167	6.98	
S0168	6.95	
S0169	6.9	
S0170	6.86	
S0171	6.86	
S0172	6.73	
S0173	6.7	
S0174	6.66	
S0175	6.64	
S0176	6.61	
S0177	6.59	
S0178	6.57	
S0179	6.57	
S0180	6.56	
S0181	6.56	
S0182	6.51	
S0183	6.5	
S0184	6.48	
S0185	6.46	
S0186	6.45	
S0187	6.41	
S0188	6.39	
S0189	6.37	
S0190	6.37	
S0191	6.36	
S0192	6.36	
S0193	6.35	
S0194	6.31	
S0195	6.29	
S0196	6.22	
S0197	6.21	
S0198	6.18	
S0199	6.16	
S0200	6.13	
S0201	6.11	
S0202	6.09	
S0203	6.03	
S0204	6	
S0205	5.99	
S0206	5.92	
S0207	5.89	
S0208	5.87	
S0209	5.86	
S0210	5.86	
S0211	5.79	
S0212	5.78	
S0213	5.78	
S0214	5.74	
S0215	5.72	
S0216	5.69	
S0217	5.64	
S0218	5.62	
S0219	5.62	
S0220	5.61	
S0221	5.59	
S0222	5.57	
S0223	5.57	
S0224	5.57	
S0225	5.56	
S0226	5.56	
S0227	5.54	
S0228	5.53	
S0229	5.53	
S0230	5.53	
S0231	5.52	
S0232	5.52	
S0233	5.52	
S0234	5.51	
S0235	5.49	
S0236	5.48	
S0237	5.47	
S0238	5.47	
S0239	5.46	
S0240	5.45	
S0241	5.44	
S0242	5.43	
S0243	5.43	
S0244	5.42	
S0245	5.42	
S0246	5.4	
S0247	5.39	
S0248	5.39	
S0249	5.39	
S0250	5.39	
S0251	5.39	
S0252	5.38	
S0253	5.37	
S0254	5.37	
S0255	5.35	
S0256	5.35	
S0257	5.34	
S0258	5.34	
S0259	5.33	
S0260	5.31	
S0261	5.27	
S0262	5.27	
S0263	5.26	
S0264	5.26	
S0265	5.26	
S0266	5.25	
S0267	5.25	
S0268	5.24	
S0269	5.23	
S0270	5.21	
S0271	5.2	
S0272	5.2	
S0273	5.2	
S0274	5.19	
S0275	5.19	
S0276	5.18	
S0277	5.17	
S0278	5.17	
S0279	5.15	
S0280	5.14	
S0281	5.14	
S0282	5.14	
S0283	5.14	
S0284	5.14	
S0285	5.14	
S0286	5.13	
S0287	5.13	
S0288	5.12	
S0289	5.11	
S0290	5.11	
S0291	5.1	
S0292	5.1	
S0293	5.1	
S0294	5.09	
S0295	5.05	
S0296	5.03	
S0297	5.01	
S0298	5.01	
S0299	5.01	
S0300	5	
S0301	4.99	
S0302	4.97	
S0303	4.97	
S0304	4.96	
S0305	4.96	
S0306	4.95	
S0307	4.95	
S0308	4.95	
S0309	4.95	
S0310	4.95	
S0311	4.93	
S0312	4.92	
S0313	4.92	
S0314	4.92	
S0315	4.91	
S0316	4.91	
S0317	4.9	
S0318	4.9	
S0319	4.89	
S0320	4.89	
S0321	4.89	
S0322	4.89	
S0323	4.88	
S0324	4.87	
S0325	4.87	
S0326	4.86	
S0327	4.85	
S0328	4.84	
S0329	4.84	
S0330	4.82	
S0331	4.82	
S0332	4.81	
S0333	4.81	
S0334	4.8	
S0335	4.8	
S0336	4.79	
S0337	4.79	
S0338	4.77	
S0339	4.76	
S0340	4.76	
S0341	4.75	
S0342	4.75	
S0343	4.75	
S0344	4.74	
S0345	4.74	
S0346	4.74	
S0347	4.74	
S0348	4.73	
S0349	4.73	
S0350	4.72	
S0351	4.72	
S0352	4.71	
S0353	4.71	
S0354	4.7	
S0355	4.69	
S0356	4.69	
S0357	4.69	
S0358	4.67	
S0359	4.67	
S0360	4.67	
S0361	4.67	
S0362	4.66	
S0363	4.66	
S0364	4.66	
S0365	4.65	
S0366	4.65	
S0367	4.65	
S0368	4.64	
S0369	4.64	
S0370	4.63	
S0371	4.62	
S0372	4.61	
S0373	4.6	
S0374	4.6	
S0375	4.6	
S0376	4.57	
S0377	4.56	
S0378	4.56	
S0379	4.55	
S0380	4.55	
S0381	4.54	
S0382	4.53	
S0383	4.53	
S0384	4.53	
S0385	4.52	
S0386	4.52	
S0387	4.51	
S0388	4.5	
S0389	4.49	
S0390	4.48	
S0391	4.48	
S0392	4.48	
S0393	4.48	
S0394	4.47	
S0395	4.47	
S0396	4.46	
S0397	4.45	
S0398	4.45	
S0399	4.45	
S0400	4.43	
S0401	4.42	
S0402	4.42	
S0403	4.41	
S0404	4.41	
S0405	4.41	
S0406	4.41	
S0407	4.4	
S0408	4.4	
S0409	4.39	
S0410	4.39	
S0411	4.39	
S0412	4.38	
S0413	4.38	
S0414	4.38	
S0415	4.37	
S0416	4.37	
S0417	4.36	
S0418	4.35	
S0419	4.34	
S0420	4.34	
S0421	4.33	
S0422	4.32	
S0423	4.31	
S0424	4.31	
S0425	4.31	
S0426	4.31	
S0427	4.3	
S0428	4.3	
S0429	4.3	
S0430	4.3	
S0431	4.29	
S0432	4.29	
S0433	4.28	
S0434	4.28	
S0435	4.27	
S0436	4.27	
S0437	4.27	
S0438	4.26	
S0439	4.26	
S0440	4.25	
S0441	4.23	
S0442	4.23	
S0443	4.23	
S0444	4.22	
S0445	4.22	
S0446	4.21	
S0447	4.21	
S0448	4.2	
S0449	4.18	
S0450	4.17	
