ID	reference_result	z-score
P001	1	-3.379
P002	1	-4.959
P003	1	-10.327
P004	1	-15.318
P005	1	-12.272
P006	1	-15.237
P007	1	-14.928
P008	1	-9.649
P009	1	-13.168
P010	1	-13.168
P011	1	-13.3
P012	1	-4.522
P013	1	-14.804
P014	1	-11.071
P015	1	-1.858
P016	1	-10.026
P017	1	-12.198
P018	-1	-3.058
P019	-1	0.836
P020	-1	-3.014
P021	-1	-2.173
P022	-1	1.203
P023	-1	1.495
P024	-1	-0.206
P025	-1	-5.592
P026	-1	-2.05
P027	-1	-5.04
P028	-1	-0.145
P029	-1	2.355
P030	-1	0.397
P031	-1	-4.036
P032	-1	-2.24
P033	-1	2.222
P034	-1	-1.128
P035	-1	2.222
P036	-1	0.435
P037	-1	0.401
P038	-1	-0.616
P039	-1	-2.877
